
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
600,,Spot,7,Image 1,2,4158,
1024,,Spot,7,Image 1,2,4160,
1142,,Spot,7,Image 1,2,4163,
277,,Spot,7,Image 1,2,4165,
460,,Spot,7,Image 1,2,4169,
455,,Spot,7,Image 1,2,4177,
924,,Spot,7,Image 1,2,4190,
819,,Spot,7,Image 1,2,4192,
742,,Spot,7,Image 1,2,4193,
882,,Spot,7,Image 1,2,4197,
1227,,Spot,7,Image 1,2,4202,
659,,Spot,7,Image 1,2,4206,
919,,Spot,7,Image 1,2,4222,
808,,Spot,7,Image 1,2,4238,
666,,Spot,7,Image 1,2,4241,
922,,Spot,7,Image 1,2,4244,
1136,,Spot,7,Image 1,2,4245,
1187,,Spot,7,Image 1,2,4250,
794,,Spot,7,Image 1,2,4253,
806,,Spot,7,Image 1,2,4265,
767,,Spot,7,Image 1,2,4268,
407,,Spot,7,Image 1,2,4272,
497,,Spot,7,Image 1,2,4273,
469,,Spot,7,Image 1,2,4274,
554,,Spot,7,Image 1,2,4276,
789,,Spot,7,Image 1,2,4282,
851,,Spot,7,Image 1,2,4288,
303,,Spot,7,Image 1,2,4290,
796,,Spot,7,Image 1,2,4294,
167,,Spot,7,Image 1,2,4297,
450,,Spot,7,Image 1,2,4299,
471,,Spot,7,Image 1,2,4304,
620,,Spot,7,Image 1,2,4305,
934,,Spot,7,Image 1,2,4307,
1008,,Spot,7,Image 1,2,4345,
907,,Spot,7,Image 1,2,4364,
707,,Spot,7,Image 1,2,4385,
967,,Spot,7,Image 1,2,4402,
1161,,Spot,7,Image 1,2,4404,
1193,,Spot,7,Image 1,2,4410,
1054,,Spot,7,Image 1,2,4414,
569,,Spot,7,Image 1,2,4419,
1241,,Spot,7,Image 1,2,4423,
441,,Spot,7,Image 1,2,4424,
790,,Spot,7,Image 1,2,4431,
891,,Spot,7,Image 1,2,4438,
791,,Spot,7,Image 1,2,4448,
742,,Spot,7,Image 1,2,4450,
815,,Spot,7,Image 1,2,4464,
880,,Spot,7,Image 1,2,4467,
922,,Spot,7,Image 1,2,4468,
1241,,Spot,7,Image 1,2,4472,
726,,Spot,7,Image 1,2,4485,
1040,,Spot,7,Image 1,2,4487,
1075,,Spot,7,Image 1,2,4491,
947,,Spot,7,Image 1,2,4492,
1112,,Spot,7,Image 1,2,4493,
1086,,Spot,7,Image 1,2,4495,
1136,,Spot,7,Image 1,2,4497,
793,,Spot,7,Image 1,2,4498,
1090,,Spot,7,Image 1,2,4499,
1175,,Spot,7,Image 1,2,4508,
929,,Spot,7,Image 1,2,4520,
