
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
91.0015,,Spot,4,Image 1,2,3539,
112.159,,Spot,4,Image 1,2,3563,
50.6158,,Spot,4,Image 1,2,3577,
99.4011,,Spot,4,Image 1,2,3588,
89.7589,,Spot,4,Image 1,2,3590,
81.9713,,Spot,4,Image 1,2,3591,
56.096,,Spot,4,Image 1,2,3605,
70.8326,,Spot,4,Image 1,2,3608,
75.3307,,Spot,4,Image 1,2,3611,
95.5746,,Spot,4,Image 1,2,3612,
109.431,,Spot,4,Image 1,2,3615,
102.763,,Spot,4,Image 1,2,3618,
105.102,,Spot,4,Image 1,2,3619,
95.2716,,Spot,4,Image 1,2,3620,
89.8461,,Spot,4,Image 1,2,3622,
131.872,,Spot,4,Image 1,2,3633,
93.522,,Spot,4,Image 1,2,3635,
78.7096,,Spot,4,Image 1,2,3636,
73.9387,,Spot,4,Image 1,2,3637,
109.23,,Spot,4,Image 1,2,3675,
70.2405,,Spot,4,Image 1,2,3679,
69.6516,,Spot,4,Image 1,2,3686,
228.206,,Spot,4,Image 1,2,3687,
159.22,,Spot,4,Image 1,2,3688,
106.411,,Spot,4,Image 1,2,3693,
98.2451,,Spot,4,Image 1,2,3696,
63.4062,,Spot,4,Image 1,2,3702,
82.3009,,Spot,4,Image 1,2,3729,
91.5386,,Spot,4,Image 1,2,3732,
198.853,,Spot,4,Image 1,2,3748,
44.8918,,Spot,4,Image 1,2,3749,
108.335,,Spot,4,Image 1,2,3758,
114.035,,Spot,4,Image 1,2,3760,
107.07,,Spot,4,Image 1,2,3763,
135.481,,Spot,4,Image 1,2,3768,
123.687,,Spot,4,Image 1,2,3771,
80.223,,Spot,4,Image 1,2,3776,
127.588,,Spot,4,Image 1,2,3778,
171.904,,Spot,4,Image 1,2,3783,
120.997,,Spot,4,Image 1,2,3787,
84.2879,,Spot,4,Image 1,2,3802,
80.5866,,Spot,4,Image 1,2,3805,
121.803,,Spot,4,Image 1,2,3809,
117.754,,Spot,4,Image 1,2,3812,
102.135,,Spot,4,Image 1,2,3813,
133.316,,Spot,4,Image 1,2,3815,
87.6161,,Spot,4,Image 1,2,3818,
114.683,,Spot,4,Image 1,2,3822,
73.1364,,Spot,4,Image 1,2,3823,
131.559,,Spot,4,Image 1,2,3825,
165.902,,Spot,4,Image 1,2,3829,
100.09,,Spot,4,Image 1,2,3837,
150.426,,Spot,4,Image 1,2,3840,
126.795,,Spot,4,Image 1,2,3841,
186.475,,Spot,4,Image 1,2,3842,
129.857,,Spot,4,Image 1,2,3843,
57.7932,,Spot,4,Image 1,2,3849,
121.011,,Spot,4,Image 1,2,3854,
89.063,,Spot,4,Image 1,2,3855,
90.4871,,Spot,4,Image 1,2,3858,
169.748,,Spot,4,Image 1,2,3859,
87.3816,,Spot,4,Image 1,2,3863,
150.549,,Spot,4,Image 1,2,3867,
146.111,,Spot,4,Image 1,2,3868,
94.2318,,Spot,4,Image 1,2,3869,
91.6029,,Spot,4,Image 1,2,3873,
72.8433,,Spot,4,Image 1,2,3874,
61.6892,,Spot,4,Image 1,2,3876,
101.875,,Spot,4,Image 1,2,3887,
62.8089,,Spot,4,Image 1,2,3900,
78.1705,,Spot,4,Image 1,2,3904,
121.439,,Spot,4,Image 1,2,3919,
52.6146,,Spot,4,Image 1,2,3925,
132.675,,Spot,4,Image 1,2,3934,
163.658,,Spot,4,Image 1,2,3942,
93.1489,,Spot,4,Image 1,2,3943,
78.098,,Spot,4,Image 1,2,3948,
56.5288,,Spot,4,Image 1,2,3955,
79.1639,,Spot,4,Image 1,2,3956,
64.3981,,Spot,4,Image 1,2,3957,
71.3291,,Spot,4,Image 1,2,3959,
175.5,,Spot,4,Image 1,2,3961,
126.966,,Spot,4,Image 1,2,3963,
51.9934,,Spot,4,Image 1,2,3966,
91.3054,,Spot,4,Image 1,2,3968,
50.1275,,Spot,4,Image 1,2,3969,
51.4737,,Spot,4,Image 1,2,3975,
181.617,,Spot,4,Image 1,2,3976,
77.6814,,Spot,4,Image 1,2,3979,
147.19,,Spot,4,Image 1,2,3981,
96.4481,,Spot,4,Image 1,2,3982,
70.5926,,Spot,4,Image 1,2,3987,
85.0249,,Spot,4,Image 1,2,3988,
64.7077,,Spot,4,Image 1,2,3989,
91.5269,,Spot,4,Image 1,2,3999,
118.055,,Spot,4,Image 1,2,4002,
146.51,,Spot,4,Image 1,2,4008,
99.2321,,Spot,4,Image 1,2,4011,
111.702,,Spot,4,Image 1,2,4014,
137.65,,Spot,4,Image 1,2,4023,
76.9741,,Spot,4,Image 1,2,4032,
